"age","body_type","diet","drinks","drugs","education","ethnicity","height","income","job","last_online","location","offspring","orientation","pets","religion","sex","sign","smokes","speaks","status","essay0"
51,"athletic",NA,"socially",NA,"graduated from college/university","black, other",68,50000,"other",2012-03-19 17:23:00,"crockett, california",NA,"gay","likes dogs and likes cats","buddhism","f","sagittarius and it's fun to think about","no","english (okay), spanish (poorly)","single","i am quite... ~shy~...but its really a nice quality...and ive embraced it fully...it balances me...im just reaching out to connect with kind"
33,"fit",NA,"socially","never","graduated from law school","white",70,NA,"law / legal services",2012-06-30 20:08:00,"berkeley, california",NA,"straight","likes dogs",NA,"m","taurus but it doesn't matter","no","english, latin (poorly)","single","it seems like everyone here has a great set of friends, is constantly traveling, is outdoorsy, and an accomplished athlete. well, i guess th"
33,"curvy","mostly anything","rarely","often","graduated from college/university","white",67,NA,"other",2012-06-30 04:41:00,"san francisco, california","doesn't want kids","straight","likes dogs and likes cats","catholicism but not too serious about it","f",NA,"yes","english, spanish (poorly)","seeing someone","some will say i'm real.  and sassy, abrasive, photogenic,  jaded, unapproachable, sensitive,  talented, always late, loyal, shy,  intimidati"
29,"curvy","anything","socially","never","graduated from college/university","indian",62,NA,"other",2012-06-29 10:42:00,"san francisco, california","doesn't have kids","straight","likes dogs","hinduism and somewhat serious about it","f","virgo but it doesn't matter","no","english, indonesian (poorly), french (okay), spanish (okay), hindi (poorly)","single","hmmmm, let's see. so i'm pretty terrible at these things but here goes:  i was born and raised in manhattan and have lived in lagos, boston,"
22,"average","mostly anything","rarely","never","working on college/university","white, other",67,20000,"student",2011-08-21 13:16:00,"vallejo, california",NA,"straight","has dogs and has cats","other and somewhat serious about it","f","libra","trying to quit","english (fluently), french (poorly)","single","i'm an italian girl from california. i've very close with my family and friends; wouldn't trade them for the world. i've had a lot of people"
66,"fit","mostly anything","socially","never","graduated from ph.d program","white",63,100000,"education / academia",2012-06-29 23:19:00,"berkeley, california","has a kid","straight","likes dogs","buddhism and laughing about it","f",NA,"no","english, german (fluently), spanish (poorly)","single","i am warm, enthusiastic, easy-going, low maintenance, and attractive. i would rather spend my time cultivating love than looking out there t"
30,"average","mostly anything","socially",NA,"graduated from college/university","white",72,NA,"science / tech / engineering",2012-06-29 15:36:00,"san francisco, california","doesn't have kids","straight","likes dogs","atheism and laughing about it","m","capricorn but it doesn't matter","no","english (fluently), spanish (poorly)","single","i'm always up to trying new things. i enjoy meeting new people and just having fun. i like wandering around the city and doing various outdo"
22,"average",NA,"socially","never",NA,"white",72,NA,"other",2012-06-27 19:46:00,"menlo park, california",NA,"straight",NA,NA,"m","cancer","sometimes","english","single","im todd. i work on an ambulance in the san jose area and love it. i like going home at the end of the day knowing that i helped someone else"
37,"athletic","mostly anything","socially",NA,"graduated from college/university","hispanic / latin, other",72,100000,"medicine / health",2012-06-30 09:44:00,"larkspur, california","doesn't have kids, but wants them","straight","likes dogs and likes cats",NA,"m","scorpio and it's fun to think about","no","english","single","well to start off, in life and many other instances, i like to get both feet wet. actually i prefer it that way. i stay very active and live"
33,"athletic",NA,"socially",NA,"graduated from ph.d program","white",71,NA,NA,2012-06-28 20:58:00,"berkeley, california",NA,"straight","likes dogs",NA,"m","taurus","no","english (fluently), french (poorly)","single","i'm smiley and make a lot of dumb jokes. i grew up in palo alto. i went to college in southern california (harvey mudd), and recently finish"
34,"fit",NA,"socially","never","graduated from college/university",NA,68,NA,"other",2012-06-29 12:34:00,"oakland, california",NA,"straight","has dogs and likes cats",NA,"m","libra","no","english","single",NA
33,"fit","strictly anything",NA,NA,"working on college/university","white",72,NA,"law / legal services",2012-06-27 15:35:00,"san francisco, california",NA,"straight","likes dogs and likes cats","other and laughing about it","m","virgo and it's fun to think about",NA,"english (fluently), german (okay), spanish (okay), japanese (okay)","single","i've lived up and down the coast in nor cal and so cal and love both for different reasons. i enjoy meeting new people, going out and just h"
27,"fit","mostly vegetarian","socially","sometimes","working on college/university","asian, white",70,50000,"other",2012-03-02 16:33:00,"san francisco, california",NA,"straight","likes dogs and has cats","other and laughing about it","m","scorpio and it's fun to think about","no","english (fluently)","single","i spend a lot of time thinking about cave-people and the apocalypse. and infinity.    i like getting outdoors and doing stuff with nature. b"
27,"athletic",NA,"rarely","never","working on college/university","black",75,20000,NA,2012-06-16 05:26:00,"san mateo, california","doesn't have kids","straight",NA,NA,"m","gemini and it's fun to think about","no","english","single","i wouldn't say i'm a nerd, just a passionate geek."
26,"athletic","mostly anything","socially","never","working on masters program",NA,71,NA,NA,2012-06-30 00:41:00,"san francisco, california",NA,"straight","likes dogs",NA,"m",NA,"no","english (fluently)","single","i graduated with a bachelor's degree in criminal justice. however, i felt that i had the potential to increase the potency of my knowledge, "
26,NA,NA,"socially","never","graduated from college/university","white",63,NA,"computer / hardware / software",2012-06-29 08:34:00,"walnut creek, california","doesn't have kids","straight",NA,NA,"f","aquarius but it doesn't matter","no","english","single","i like to laugh and you'll nearly always see a smile on my face. i'm a fairly quirky person with interests all over the spectrum. i like hig"
47,"average",NA,"socially",NA,"graduated from masters program","white",64,NA,"sales / marketing / biz dev",2012-05-23 20:24:00,"sausalito, california","has kids","straight",NA,NA,"f",NA,"no","english","single",NA
19,"athletic","strictly anything","rarely","never","working on college/university","white",70,NA,"student",2012-06-30 20:19:00,"berkeley, california","doesn't have kids, and doesn't want any","straight","likes dogs and likes cats","buddhism and somewhat serious about it","m","virgo and it's fun to think about","no","english (fluently)","single","hello,  it seems like everyone is too selective, just be friendly and say hi?    also a note: that ""personality"" graph is way off, i do enjo"
35,"fit","mostly anything","socially","never","graduated from college/university","other",75,100000,"entertainment / media",2011-12-22 17:28:00,"walnut creek, california",NA,"gay",NA,NA,"m","scorpio but it doesn't matter","no","english (fluently), french (okay)","single","fun, successful, easy going guy looking for similar guys to hang out with/dating."
27,"athletic",NA,"not at all","never","working on college/university","white",69,NA,"student",2012-04-13 18:00:00,"san francisco, california",NA,"gay","likes dogs",NA,"m","leo and it's fun to think about","no","english","single","fun loving outdoorsy music geek."
34,"average",NA,"rarely","never","graduated from college/university","asian",63,NA,"other",2011-11-11 13:11:00,"san francisco, california",NA,"straight","likes dogs and likes cats",NA,"m","sagittarius and it's fun to think about","no","english, chinese (okay), spanish (poorly)","single","sometimes when i drink water i fill up my cheeks like a chipmunk.. what else.. i'm laid-back, caring, honest, loyal, unique.. looking to cre"
22,"athletic",NA,"socially",NA,"working on college/university","white",67,NA,"student",2012-06-26 01:03:00,"san francisco, california","doesn't want kids","straight",NA,"atheism and very serious about it","m","capricorn but it doesn't matter","no","english, c++ (fluently), persian (poorly), spanish (poorly)","single","i think it is much easier to elaborate on what i'm not. i'm not the kind of person who is bored easily. there is always something to do, tha"
32,NA,"strictly vegetarian","socially","never","graduated from college/university","white",68,NA,NA,2012-06-26 22:26:00,"san francisco, california",NA,"straight",NA,NA,"f","aries and it's fun to think about","no","english, spanish (poorly)","single","fond of pants. i have a tendency to err on the amish side of life (i don't even have a smartphonegasp!) and i enjoy protracted conversations"
48,"athletic","anything","not at all","never","graduated from high school","white",70,NA,"sales / marketing / biz dev",2012-06-30 00:41:00,"alameda, california",NA,"straight","likes dogs",NA,"m","libra but it doesn't matter","no","english","single","i am a loyal and good friend. i appreciate being active. some of the things that have held my attention are hiking, volleyball, and walking."
31,"average","mostly vegetarian","socially","sometimes","graduated from masters program","white",69,20000,"artistic / musical / writer",2012-06-20 10:50:00,"oakland, california",NA,"straight","likes dogs and likes cats","christianity and laughing about it","m","scorpio and it's fun to think about","sometimes","english (fluently), hebrew (poorly)","single","i'm a musician. i'm also a person who finds joy in raging against the machine. and yet here i am typing more words into one in the hopes tha"
28,NA,"mostly anything","socially","never","graduated from college/university","white",66,NA,"computer / hardware / software",2012-06-28 10:00:00,"san francisco, california","doesn't have kids","straight","likes dogs","catholicism and laughing about it","m",NA,"no","english","single","boston born - california cultured.    i moved from the boston area to california for school, and have remained ever since. i've stayed here "
31,"athletic",NA,"socially","never","working on college/university","white",72,NA,"other",2012-06-28 20:05:00,"san leandro, california",NA,"gay","likes dogs and likes cats","other","m","taurus","no","english","single","hi all, i am a small town kinda guy, strong, sweet, carring, and genuine...no stranger to relationships, i believe i am at my best with a pa"
34,"athletic","anything","socially","sometimes","graduated from college/university","white",72,NA,"hospitality / travel",2011-10-30 02:27:00,"oakland, california",NA,"straight","likes dogs","agnosticism","m","cancer","sometimes","english (fluently), spanish (poorly)","single","great friend, no enemies, just taking in a wonderfull ride."
45,"average","strictly anything","socially","never","working on college/university","white",72,NA,"construction / craftsmanship",2012-03-24 23:53:00,"vallejo, california","has a kid, but doesn't want more","straight","has dogs and has cats","christianity but not too serious about it","m","pisces but it doesn't matter","no","english (okay), english (okay), spanish (poorly)","single","i am not here to just date around. i am looking for my true love, my second chance at ""the dream"" - a partner and lover. a woman who deeply "
55,"athletic",NA,"socially","never","graduated from ph.d program","white",68,NA,"medicine / health",2012-01-12 20:03:00,"orinda, california",NA,"straight",NA,"other and very serious about it","m","gemini and it's fun to think about","no","english","single","though i am very involved in my work i would like to find my soul mate and potentially build a family.    i am good communicator, attractive"
36,"average",NA,"socially","never","graduated from masters program","white",66,NA,"banking / financial / real estate",2012-06-28 15:26:00,"san francisco, california",NA,"straight","likes dogs and has cats","judaism but not too serious about it","f","cancer and it's fun to think about",NA,"english (fluently), russian (fluently), spanish (poorly)","single","i am honest, strong minded, independent woman. and yet i'm warm, kind and soft. i love my family who are very close and dear to me. travel i"
32,NA,NA,"socially","never","graduated from college/university","white",70,NA,"other",2011-12-12 12:27:00,"emeryville, california",NA,"straight","likes dogs and likes cats","agnosticism but not too serious about it","f","leo and it's fun to think about","no","english (fluently)","single","i grew up in the sf bay area but only moved out to the east bay from sonoma county recently due to work. i'm still getting used to the more "
38,"thin","mostly vegetarian","socially","never","graduated from ph.d program","white",64,80000,"computer / hardware / software",2012-06-26 19:14:00,"san francisco, california","doesn't have kids, but wants them","straight","likes dogs","atheism and laughing about it","f","aquarius and it's fun to think about","no","english","single","i'm a passionate, fun-loving, caring, sarcastic, sensitive, creative, and humble (although you wouldn't be able to tell from this descriptio"
32,"athletic","mostly anything","socially","never","working on college/university","black",60,NA,"artistic / musical / writer",2012-06-18 15:38:00,"san francisco, california","doesn't have kids, but might want them","gay","likes dogs and likes cats","other and laughing about it","f","virgo but it doesn't matter","no","english (fluently), german (poorly), french (poorly)","single","i'm a lot of things, and i love to have a good time no matter if i'm out on the town or watching stupid movies with friends. i'm easy going,"
40,"athletic",NA,"socially","never","graduated from masters program",NA,69,NA,"science / tech / engineering",2012-03-29 14:08:00,"san francisco, california",NA,"straight","likes dogs",NA,"m","leo","no","english (fluently), italian, spanish","single",NA
43,"athletic",NA,"socially","never","graduated from college/university","white",73,100000,"executive / management",2012-06-24 16:36:00,"san francisco, california",NA,"straight",NA,NA,"m","capricorn and it's fun to think about","no","english (fluently)","single","contemplating life here in the big city, and i just know that the fun is better when you have someone to share it with. so that is where i a"
60,"average",NA,"socially","never",NA,"white",72,NA,"other",2012-06-30 11:00:00,"berkeley, california",NA,"straight","likes dogs","agnosticism","m",NA,"no","english, french (poorly)","single","as a self-employed investor i can go anywhere, anytime and make a living as long as i have my laptop and an internet connection. i'm also a "
32,"fit","anything","socially",NA,"graduated from law school","asian, white",63,NA,"law / legal services",2012-05-07 14:32:00,"san francisco, california","doesn't have kids, but might want them","straight","likes dogs and likes cats","agnosticism","f","pisces but it doesn't matter","no","english, spanish (okay), chinese (poorly)","single","hi there! ten things you might want to know about me: (1) i quit my former high stress job about a year ago and spent all last summer travel"
25,"a little extra",NA,"socially","never","working on college/university","white",73,NA,"sales / marketing / biz dev",2012-06-30 23:41:00,"san francisco, california","doesn't have kids","straight","likes dogs and likes cats","christianity and somewhat serious about it","m","aquarius and it's fun to think about","no","english (fluently)","single","i am originally from ohio and i am new to the city so exploration is always on the menu. i like going to beaches to toss a football around, "
25,"thin","mostly anything","socially","never","graduated from college/university","white",64,80000,"banking / financial / real estate",2012-02-25 08:45:00,"san francisco, california","doesn't have kids","straight","likes dogs","catholicism but not too serious about it","f","virgo but it doesn't matter","no","english","single","i relocated from new england for a job in finance and have found san francisco to become my home. i have recently started running marathons "
47,"thin",NA,"rarely","sometimes",NA,"white",69,20000,"unemployed",2011-11-19 06:49:00,"san francisco, california","has a kid","straight","has dogs and has cats","other and laughing about it","m","aquarius and it's fun to think about","yes","english","seeing someone","i like to read.i'm an aircooled volkswagen fanatic so if you love the dubs i might be someone you like.i don't like going to bars,coffee  sh"
28,NA,"mostly anything","rarely","never","working on ph.d program",NA,65,NA,"student",2012-06-30 00:11:00,"berkeley, california",NA,"straight",NA,NA,"m",NA,"no","english","single","i am originally from the midwest and made my way to the bay area for grad school. i have been here for a number of years now and have grown "
26,"average","strictly anything",NA,NA,"graduated from college/university","pacific islander",68,NA,"artistic / musical / writer",2012-06-21 15:49:00,"daly city, california",NA,"straight",NA,"agnosticism but not too serious about it","m","sagittarius but it doesn't matter",NA,"english (fluently), tagalog (okay)","single"," ""we need to make books cool again. if you go home with somebody and they don't have books, don't f*ck them."" - john waters     geeky, mouth"
31,"average",NA,"socially","never","working on masters program","white",66,NA,"education / academia",2011-12-07 20:18:00,"san francisco, california",NA,"straight",NA,"other","f","gemini and it's fun to think about","no","english (fluently)","single","i love my life and having fun! i traveled for 4 years before landing in sf. being active is pretty important to me, i do yoga regularly and "
23,NA,"mostly anything","socially","never","graduated from college/university",NA,63,NA,NA,2012-06-30 10:26:00,"berkeley, california","doesn't have kids","straight","likes dogs and likes cats",NA,"f","taurus and it's fun to think about","no","english (fluently), dutch (poorly), spanish (poorly)","single","i work full time at uc berkeley. when i'm not working, i enjoy hiking, spending time with friends, and anything else that sounds fun at the "
40,"athletic","anything","socially","never",NA,"white",74,NA,"banking / financial / real estate",2012-06-29 09:28:00,"walnut creek, california","has kids","straight","likes dogs and likes cats","catholicism but not too serious about it","m","leo but it doesn't matter","no","english","single","i am funny, hard working, never give up, caring , considerate, i'm deep, authentic. can't do inconsiderate. i love hiking in the hills."
30,"athletic","mostly vegetarian","rarely","never","graduated from masters program","asian",66,40000,"medicine / health",2012-02-17 08:24:00,"san francisco, california",NA,"straight","likes dogs and likes cats","buddhism and somewhat serious about it","f","cancer and it's fun to think about","no","english (fluently), chinese (fluently), spanish (poorly)","seeing someone","too complex a being to be described, many layers and facets, very interesting and kind person."
25,NA,"mostly anything","socially",NA,"graduated from college/university","asian",67,NA,"computer / hardware / software",2012-05-27 12:59:00,"san francisco, california",NA,"straight",NA,NA,"m",NA,NA,"english (fluently), chinese (fluently)","single","i grew up in the bay area, and moved to san francisco after graduating from uc berkeley.    i like exploring the city and trying new restaur"
52,"average",NA,"socially","sometimes","graduated from college/university","white",68,70000,"sales / marketing / biz dev",2012-03-07 21:40:00,"oakland, california",NA,"straight","likes cats","atheism but not too serious about it","m","gemini but it doesn't matter","sometimes","english","single","i find it really difficult to write about myself... more to come... of course.  so. where was i? finding it difficult to write about myself."
34,"thin",NA,"rarely",NA,NA,"white",75,NA,"other",2012-06-26 16:37:00,"alameda, california",NA,"straight","has cats","atheism but not too serious about it","m","aquarius and it's fun to think about","no","english","seeing someone","""hello, no one is available to take your call. please leave a brief message after tehd-own. puurroought!"" crackle  ""hey profile? it's me sea"
32,"athletic",NA,"socially","never","graduated from masters program","white",70,NA,NA,2012-06-15 17:53:00,"san francisco, california",NA,"straight","likes dogs",NA,"m",NA,"no","english, french, spanish, german","single","so far my life has been driven by curiosity. i like to explore, learn, live, and make worthwhile experiences. i am not a bay area native but"
28,"thin","mostly anything","socially","sometimes","graduated from college/university","asian",68,100000,"science / tech / engineering",2012-06-25 22:57:00,"san francisco, california",NA,"straight",NA,"buddhism but not too serious about it","m","scorpio but it doesn't matter","no","english (fluently), chinese (fluently)","single","i am curious, creative and i love being outdoors. i'm from boston, but i live in san francisco now and i love it. i'm a sucker for good weat"
41,NA,NA,"socially","never",NA,"white",76,NA,NA,2012-06-30 22:34:00,"san francisco, california",NA,"straight","has dogs",NA,"m",NA,NA,"english","single","i am an easy going laid back type of person. looking for a friend, good times or whatever may happen. i choose to spend life with love in my"
43,"a little extra","mostly anything","rarely","never","graduated from college/university","white",69,NA,"computer / hardware / software",2012-06-30 17:49:00,"palo alto, california","has kids, but doesn't want more","straight","likes dogs","judaism","m","virgo","no","english","single","i am a new yorker who now lives in california. sports, cooking and movies are some of my favorite activities. i am a graduate of california "
33,"fit","anything",NA,"never","graduated from ph.d program","white",72,NA,"science / tech / engineering",2012-07-01 02:02:00,"pacifica, california",NA,"straight",NA,"agnosticism","m","pisces but it doesn't matter","no","english, french (poorly), c++ (fluently)","single","fyi, i filled in this profile backwards for the most part, which leaves me without much new to say in the first box! so i'll treat it like a"
24,NA,"mostly anything","socially",NA,"graduated from college/university","white",71,NA,"entertainment / media",2012-06-02 00:28:00,"san francisco, california",NA,"straight","has dogs and has cats","agnosticism and laughing about it","m","scorpio and it's fun to think about",NA,"english (fluently), russian (fluently), italian (okay), french (poorly)","single","please feel free to ask me anything you wish. i also offer sage advice on many topics outside of my expertise, if that suits you better."
19,"overweight","strictly anything","socially","never","graduated from high school","hispanic / latin",63,NA,"student",2012-06-29 13:34:00,"oakland, california",NA,"straight","likes dogs and likes cats",NA,"f","aquarius and it's fun to think about","no","english (fluently), spanish (fluently)","single","i am an 19 year old young single mexican woman and apparently looking for a gentleman that is real and willing to have a relationship and to"
22,"jacked","mostly anything","desperately",NA,"graduated from college/university","white, other",64,NA,"sales / marketing / biz dev",2012-06-20 20:28:00,"oakland, california",NA,"straight","likes cats","other","f","cancer",NA,"english, spanish, hindi, urdu, arabic","available","these days i: love riding. enjoy staying healthy - physically fit & mentally focused. i value working hard & w integrity. love to play - dan"
67,"average",NA,"socially",NA,"dropped out of college/university","white",74,NA,NA,2012-06-29 15:14:00,"mill valley, california","has kids","straight",NA,"catholicism but not too serious about it","m","scorpio","no","english (fluently), spanish (okay), japanese (poorly)","single","i was recently criticized for not writing more on my childhood. i was born and raised in ri. my father was first generation italian and my m"
27,NA,NA,"socially","never",NA,"asian",65,NA,NA,2012-06-25 16:40:00,"san francisco, california",NA,"straight","has dogs",NA,"f","taurus","no","english (fluently)","single","i'm a simple down to earth and laid back person."
25,"average","anything","socially","never","graduated from college/university","white",65,NA,"sales / marketing / biz dev",2012-06-27 08:13:00,"san francisco, california",NA,"straight","likes cats","judaism but not too serious about it","f","taurus but it doesn't matter","no","english, spanish (okay)","single","after growing up in the bay, i'm so excited to be back here and can explore more of sf. i love to go out and meet as many people as possibly"
24,"curvy","mostly anything","socially","never","graduated from college/university","black",65,NA,"other",2012-06-26 19:56:00,"oakland, california",NA,"straight",NA,NA,"f","libra but it doesn't matter","no","english (fluently), french (fluently)","single","i'm somewhat new to the area and a friend recommended i join to meet some new people :)    i'm a pretty laid back girl who is down for anyth"
62,"a little extra","mostly anything","socially",NA,"dropped out of college/university","white",71,NA,"construction / craftsmanship",2012-06-29 21:40:00,"san francisco, california","doesn't want kids","gay","has dogs and dislikes cats","atheism and very serious about it","m","aries and it's fun to think about","no","english (okay)","single","i am a sucker for a dark hairy-chested man, but i learned a long time ago that a hairy chest is not enough. i was a building contractor for "
42,"full figured",NA,NA,"never","graduated from masters program","white",64,NA,"education / academia",2012-06-24 15:01:00,"san francisco, california",NA,"straight",NA,"catholicism and laughing about it","f","gemini and it's fun to think about","no","english, portuguese, french, thai, spanish","single","curvy portuguese gal with heart and hair of gold seeks kind, honest, partner in crime who will let her hog the drum set while playing rock b"
30,"thin","mostly anything","socially","never","working on masters program","asian",66,NA,"student",2012-06-30 21:57:00,"san francisco, california","doesn't have kids, but might want them","gay","likes dogs",NA,"m",NA,"no","english","single","transplant from chicago working on start up ideas and tech. love to run and talk at the same time.    in my former life, i worked in the int"
34,"average",NA,"socially","never","working on college/university","hispanic / latin",66,20000,"other",2012-06-27 23:25:00,"san francisco, california",NA,"straight","likes dogs","christianity but not too serious about it","m","virgo but it doesn't matter","no","english (okay), spanish (fluently)","single","i enjoy reading newspaper, and try to relax enough when i can. i like to hear others, be around people, or to suggest something through a co"
29,"fit","anything","socially","sometimes",NA,"white",70,NA,"artistic / musical / writer",2012-06-29 09:00:00,"berkeley, california",NA,"straight","likes dogs and likes cats","other and laughing about it","m",NA,"sometimes","english","single","ok, just so it's clear, okc is the creep scene. i constantly see the aftermath of creepiness in profiles i read and i surmise it's harder fo"
25,"athletic","mostly anything","socially",NA,"graduated from college/university","asian, white",72,NA,"banking / financial / real estate",2012-07-01 02:28:00,"san francisco, california",NA,"straight",NA,NA,"m",NA,NA,"english, korean (fluently), french (okay), polish (okay)","single","as a suggestion from nosy friends, thought i'd give this site a shot.    i was born in la but spent most of my childhood in the uk/belgium/p"
36,"average","anything","socially","never","working on med school","pacific islander",64,NA,"student",2012-06-29 05:54:00,"san francisco, california",NA,"gay","likes dogs","catholicism","f","aries","no","english (fluently), spanish (okay), tagalog (poorly)","single","im a lifelong learner (aka still a student) and mos def a kid at heart. im from inglewood so i may have my ride or die chick moments but rea"
48,"average","mostly anything","socially","sometimes","graduated from college/university","white",69,NA,"other",2012-06-30 14:07:00,"san francisco, california","doesn't have kids","gay","likes dogs",NA,"m","pisces and it's fun to think about","no","english","single",NA
27,"athletic","mostly anything","rarely",NA,"working on college/university","white",71,NA,"student",2012-06-29 23:37:00,"walnut creek, california","doesn't have kids","straight","has cats","agnosticism but not too serious about it","m","aquarius but it doesn't matter","no","english","single","i spend more time than most people would consider healthy training for pointless races i wont win. yet the time out in the sun makes it not "
33,"curvy","anything","socially","never",NA,"black",64,NA,"artistic / musical / writer",2012-06-09 09:41:00,"san francisco, california",NA,"gay","likes dogs and likes cats",NA,"f","pisces and it's fun to think about","no","english","single","i'm the gal in a corset, pencil skirt, 4inch steve maddens, and a hot pink fur fixing her bicycle before careening through the streets of sa"
23,"curvy","strictly other","socially","never","graduated from two-year college","hispanic / latin, white",67,20000,"clerical / administrative",2012-06-30 00:00:00,"pleasant hill, california",NA,"bisexual","has dogs and has cats","other but not too serious about it","f","aries and it's fun to think about","no","english (fluently)","single","i am 22 years old and looking to have a fun time! i am a caring person with an honest personality.    my family, friends and art work are my"
38,"athletic","mostly anything","socially","never","masters program","white",71,NA,"medicine / health",2012-06-25 21:38:00,"burlingame, california","doesn't have kids, but wants them","straight","likes dogs and dislikes cats","catholicism but not too serious about it","m",NA,"no","english","single","hi! thanks for checking out my profile. i am pretty new to this, but i have heard good things about okcupid so here i am. i'm a very easy go"
28,"curvy",NA,"often",NA,"graduated from space camp","white",73,NA,NA,2012-06-16 19:08:00,"berkeley, california","doesn't want kids","bisexual","likes dogs and has cats",NA,"f","capricorn and it's fun to think about","yes","english (fluently), french (okay), esperanto (poorly), latin (poorly)","available","update may 2012: so a couple of things have happened that deserve a mention right from the outset. first, i broke the crap out of my ankle a"
42,"fit",NA,"socially","sometimes","graduated from law school","white",72,NA,"law / legal services",2012-06-28 21:09:00,"san rafael, california",NA,"straight","likes dogs and likes cats","atheism and laughing about it","m","gemini and it's fun to think about","no","english (fluently), spanish (okay), indonesian (poorly), other (okay)","single","ps: i think i'll start with a ps, just to be wrong. i like to joke around a lot and people sometimes don't get my dry, kinda sarcastic, kind"
27,"average","strictly anything","socially","never","working on college/university","white",67,NA,"student",2012-06-28 22:03:00,"oakland, california","doesn't want kids","gay","likes dogs and likes cats",NA,"m","scorpio and it's fun to think about","no","english (fluently), german (poorly)","single","i grew up in seattle, then moved to san francisco a little over two years ago. i love both places, but will probably stay here because let's"
26,"athletic",NA,"not at all","never","working on college/university","asian",69,1000000,"student",2011-08-02 12:09:00,"san francisco, california",NA,"straight",NA,"catholicism","m","pisces","no","english (fluently), french (fluently), russian (okay), spanish (okay), tagalog (poorly)","single","i am deaf and filipino american with descend of european. i am well educated and career person.   "
24,"thin","anything","socially",NA,NA,"white",64,NA,"other",2012-06-27 10:56:00,"san francisco, california","doesn't want kids","straight",NA,NA,"f","pisces but it doesn't matter","sometimes","english","single","i'm an outgoingly-fun chick, who enjoys meeting people and just having an all-around good time! to be cliche, i work hard to play harder...."
34,"athletic","anything","socially","never","graduated from college/university","white",73,NA,"science / tech / engineering",2012-06-29 01:00:00,"oakland, california","doesn't have kids, but wants them","straight","likes dogs","atheism and laughing about it","m","capricorn but it doesn't matter","no","english (fluently), french (poorly)","single","i like to explore. new places, new things, and new ideas. i like to go backpacking, sea kayaking, hiking, biking of all sorts. i like to cli"
